Angle,P(v15),aG_2_x,aG_2_y,aG_4_x,aG_4_y,alp_2,alp_4,F_24_x,F_24_y,F_32,F_42_x,F_42_y,T_13,L_AB
104,40.0,0.41384380337177984,-0.7590599959187423,1.0019987065951081,-0.7590599959187424,-4.04099398510189,-21.046996601251948,38.23992207958143,-206.7222857007971,7.992889601506481,38.23992207958143,-206.7222857007971,0.38026554498259346,70
105,40.0,0.43824273825257287,-0.7544078762776237,1.0476041799231584,-0.7544078762776237,-4.222282499259389,-20.90571983523309,38.16982647904673,-205.2621341697164,8.150152515299347,38.16982647904673,-205.2621341697164,0.3860765484948504,70
106,40.0,0.46280720364710526,-0.749403303194913,1.0936360665956006,-0.749403303194913,-4.4052979927340115,-20.75576606290459,38.09896280007578,-203.7130917591646,8.285178849594653,38.09896280007578,-203.7130917591646,0.390705508578818,70
107,40.0,0.48754261116898767,-0.7440453474914839,1.1401028103413222,-0.744045347491484,-4.590118774719872,-20.597079180496806,38.027319674250876,-202.0745320821519,8.395991552815289,38.027319674250876,-202.0745320821519,0.394070524356614,70
108,40.0,0.5124545226055403,-0.7383330411050525,1.1870128701592968,-0.7383330411050525,-4.776824295411318,-20.429602089819078,37.95488596529173,-200.34581575327633,8.480586965738828,37.95488596529173,-200.34581575327633,0.3960913796933754,70
109,40.0,0.5375486563085347,-0.7322653796639107,1.2343747369055507,-0.7322653796639107,-4.9654951929803595,-20.253276762726404,37.88165073909149,-198.52629109951596,8.536933663064302,37.88165073909149,-198.52629109951596,0.3966896843238005,70
110,40.0,0.5628308937064642,-0.7258413252358998,1.2821969504246737,-0.7258413252359,-5.156213340759761,-20.06804430556276,37.80760323260995,-196.61529485770143,8.562971314467234,37.80760323260995,-196.61529485770143,0.39578902073088235,70
111,40.0,0.588307285940799,-0.7190598092665771,1.3304881172485228,-0.719059809266577,-5.3490618946035315,-19.873845024256376,37.732732821572135,-194.6121528666612,8.556609564656577,37.732732821572135,-194.6121528666612,0.39331509691047106,70
112,40.0,0.6139840606283337,-0.7119197357214226,1.379256928884391,-0.7119197357214225,-5.544125340391311,-19.67061849078543,37.65702898692002,-192.51618076252026,8.51572693235691,37.65702898692002,-192.51618076252026,0.3891959051700062,70
113,40.0,0.639867628751327,-0.7044199844479208,1.4285121807146108,-0.7044199844479206,-5.741489541637387,-19.4583036117794,37.58048127996586,-190.32668468616563,8.438169728577268,37.58048127996586,-190.32668468616563,0.3833618871248305,70
114,40.0,0.6659645916766667,-0.6965594147743445,1.4782627915290893,-0.6965594147743444,-5.941241787158685,-19.236838700068578,37.50307928619527,-188.04296201243287,8.321750994998327,37.50307928619527,-188.04296201243287,0.3757461050708934,70
115,40.0,0.6922817483048023,-0.6883368693631838,1.5285178237118746,-0.6883368693631838,-6.143470838749398,-19.006161550045114,37.42481258766896,-185.6643021111502,8.164249463809393,37.42481258766896,-185.6643021111502,0.36628441992798066,70
116,40.0,0.7188261023486138,-0.6797511783382807,1.579286504102318,-0.6797511783382806,-6.348266978802407,-18.766209517750244,37.34567072397171,-183.1899871507677,7.963408540864753,37.34567072397171,-183.1899871507677,0.3549156759629821,70
117,40.0,0.745604869741752,-0.670801163705965,1.6305782455508187,-0.670801163705965,-6.555722057809618,-18.516919606657364,37.265643151658104,-180.6192929559327,7.716935314599338,37.265643151658104,-180.6192929559327,0.3415818925175722,70
118,40.0,0.7726254861752949,-0.6614856440917496,1.682402669188487,-0.6614856440917497,-6.7659295416645895,-18.258228560175937,37.184719202144315,-177.95148993101094,7.422499593757553,37.184719202144315,-177.95148993101094,0.32622846297919367,70
